sample_id	taxon_id	reads
SRR10484399	171550	3
SRR10484404	171550	18
SRR10484410	171550	40
SRR10484415	171550	85
SRR10484421	171550	40
SRR10484426	171550	0
SRR10484431	171550	3
SRR10484432	171550	0
SRR10484437	171550	0
SRR10484443	171550	35
SRR10484448	171550	241
SRR10484454	171550	0
SRR10484459	171550	0
SRR10484371	239759	62246
SRR10484376	239759	195
SRR10484377	239759	5154
SRR10484382	239759	4059
SRR10484388	239759	776
SRR10484393	239759	2198
SRR10484399	239759	5095
SRR10484404	239759	3994
SRR10484410	239759	4076
SRR10484415	239759	8551
SRR10484421	239759	6289
SRR10484426	239759	105
SRR10484431	239759	272
SRR10484432	239759	15
SRR10484437	239759	40
SRR10484443	239759	10378
SRR10484448	239759	157100
SRR10484454	239759	471
SRR10484459	239759	351
SRR10484371	214856	872125
SRR10484376	214856	1026
SRR10484377	214856	17750
SRR10484382	214856	13014
SRR10484388	214856	1717
SRR10484393	214856	14775
SRR10484399	214856	81083
SRR10484404	214856	67094
SRR10484410	214856	11155
SRR10484415	214856	207967
SRR10484421	214856	20635
SRR10484426	214856	730
SRR10484431	214856	798
SRR10484432	214856	181
SRR10484437	214856	352
SRR10484443	214856	44783
SRR10484448	214856	2138766
SRR10484454	214856	4335
SRR10484459	214856	2765
SRR10484371	328814	307620
SRR10484376	328814	2082
SRR10484377	328814	157821
SRR10484382	328814	68222
SRR10484388	328814	6290
SRR10484393	328814	45846
SRR10484399	328814	29710
SRR10484404	328814	112940
SRR10484410	328814	20397
SRR10484415	328814	120960
SRR10484421	328814	36698
SRR10484426	328814	1299
SRR10484431	328814	2408
SRR10484432	328814	339
SRR10484437	328814	898
SRR10484443	328814	103947
SRR10484448	328814	351026
SRR10484454	328814	8042
SRR10484459	328814	2275
SRR10484371	1433126	184
SRR10484376	1433126	94
SRR10484377	1433126	1840
SRR10484382	1433126	204
SRR10484388	1433126	50
SRR10484393	1433126	58
SRR10484399	1433126	16
SRR10484404	1433126	126
SRR10484410	1433126	179
SRR10484415	1433126	363
SRR10484421	1433126	406
SRR10484426	1433126	3
SRR10484431	1433126	9
SRR10484432	1433126	13
SRR10484437	1433126	2
SRR10484443	1433126	284
SRR10484448	1433126	899
SRR10484454	1433126	34
SRR10484459	1433126	20
SRR10484371	28118	357995
SRR10484376	28118	5766
SRR10484377	28118	73486
SRR10484382	28118	84995
SRR10484388	28118	18946
SRR10484393	28118	14434
SRR10484399	28118	11247
SRR10484404	28118	39323
SRR10484410	28118	8332
SRR10484415	28118	45343
SRR10484421	28118	6868
SRR10484426	28118	362
SRR10484431	28118	910
SRR10484432	28118	551
SRR10484437	28118	457
SRR10484443	28118	155435
SRR10484448	28118	18982
SRR10484454	28118	2512
SRR10484459	28118	2420
SRR10484371	838	4220
SRR10484376	838	10715
SRR10484377	838	54171
SRR10484382	838	8528
SRR10484388	838	820
SRR10484393	838	3522
SRR10484399	838	291
SRR10484404	838	1265
SRR10484410	838	989
SRR10484415	838	4194
SRR10484421	838	1425
SRR10484426	838	117
SRR10484431	838	169
SRR10484432	838	954
SRR10484437	838	91
SRR10484443	838	1742
SRR10484448	838	390
SRR10484454	838	1077
SRR10484459	838	1912
SRR10484371	28131	3138
SRR10484376	28131	6757
SRR10484377	28131	37282
SRR10484382	28131	11718
SRR10484388	28131	2267
SRR10484393	28131	2993
SRR10484399	28131	202
SRR10484404	28131	1490
SRR10484410	28131	393
SRR10484415	28131	4956
SRR10484421	28131	1238
SRR10484426	28131	258
SRR10484431	28131	383
SRR10484432	28131	1140
SRR10484437	28131	122
SRR10484443	28131	2905
SRR10484448	28131	862
SRR10484454	28131	755
SRR10484459	28131	1541
