accession	strain	sample_id	reads
AGN74946	Staphylococcus sciuri subsp. sciuri	516_t1	245
AGN74946	Staphylococcus sciuri subsp. sciuri	537_t0	355
AGN74946	Staphylococcus sciuri subsp. sciuri	518_t2	510
AGN74946	Staphylococcus sciuri subsp. sciuri	522_t1	305
AGN74946	Staphylococcus sciuri subsp. sciuri	524_t1	299
AGN74946	Staphylococcus sciuri subsp. sciuri	522_t0	448
AGN74946	Staphylococcus sciuri subsp. sciuri	538_t0	151
AGN74946	Staphylococcus sciuri subsp. sciuri	510_t3	198
AGN74946	Staphylococcus sciuri subsp. sciuri	510_t1	175
AGN74946	Staphylococcus sciuri subsp. sciuri	528_t0	291
AGN74946	Staphylococcus sciuri subsp. sciuri	534_t3	291
AGN74946	Staphylococcus sciuri subsp. sciuri	523_t3	3
AGN74946	Staphylococcus sciuri subsp. sciuri	511_t1	445
AGN74946	Staphylococcus sciuri subsp. sciuri	518_t0	211
AGN74946	Staphylococcus sciuri subsp. sciuri	523_t0	312
AGN74946	Staphylococcus sciuri subsp. sciuri	524_t0	533
AGN74946	Staphylococcus sciuri subsp. sciuri	528_t2	213
AGN74946	Staphylococcus sciuri subsp. sciuri	508_t1	264
AGN74946	Staphylococcus sciuri subsp. sciuri	510_t0	280
AGN74946	Staphylococcus sciuri subsp. sciuri	507_t1	208
AGN74946	Staphylococcus sciuri subsp. sciuri	519_t3	315
AGN74946	Staphylococcus sciuri subsp. sciuri	510_t2	168
AGN74946	Staphylococcus sciuri subsp. sciuri	532_t0	174
AGN74946	Staphylococcus sciuri subsp. sciuri	534_t1	501
AGN74946	Staphylococcus sciuri subsp. sciuri	511_t0	435
AGN74946	Staphylococcus sciuri subsp. sciuri	508_t3	213
AAF86219.1	Enterococcus faecium	508_t0	357
AAF86219.1	Enterococcus faecium	519_t2	47
AAF86219.1	Enterococcus faecium	524_t3	393
AAF86219.1	Enterococcus faecium	522_t3	23
AAF86219.1	Enterococcus faecium	518_t3	397
AAF86219.1	Enterococcus faecium	504_t1	274
AAF86219.1	Enterococcus faecium	517_t3	3
AAF86219.1	Enterococcus faecium	519_t1	117
AAF86219.1	Enterococcus faecium	519_t0	68
AAF86219.1	Enterococcus faecium	507_t0	2018
AAF86219.1	Enterococcus faecium	517_t2	13
AAF86219.1	Enterococcus faecium	506_t2	922
AAF86219.1	Enterococcus faecium	538_t2	78
AAF86219.1	Enterococcus faecium	528_t1	188
AAF86219.1	Enterococcus faecium	504_t3	49
AAF86219.1	Enterococcus faecium	517_t0	8
AAF86219.1	Enterococcus faecium	537_t1	154
AAF86219.1	Enterococcus faecium	505_t0	195
AAF86219.1	Enterococcus faecium	537_t3	13
AAF86219.1	Enterococcus faecium	512_t0	1006
AAF86219.1	Enterococcus faecium	532_t3	302
AAF86219.1	Enterococcus faecium	505_t3	53
AAF86219.1	Enterococcus faecium	506_t3	26
AAF86219.1	Enterococcus faecium	516_t3	12
AAF86219.1	Enterococcus faecium	516_t2	23
AAF86219.1	Enterococcus faecium	524_t2	81
AAF86219.1	Enterococcus faecium	534_t2	73
AAF86219.1	Enterococcus faecium	512_t1	493
AAF86219.1	Enterococcus faecium	523_t1	1749
AAF86219.1	Enterococcus faecium	538_t3	15370
AAF86219.1	Enterococcus faecium	506_t1	581
AAF86219.1	Enterococcus faecium	523_t2	155
AAF86219.1	Enterococcus faecium	511_t2	18
AAF86219.1	Enterococcus faecium	512_t3	53
AAF86219.1	Enterococcus faecium	511_t3	3
AAF86219.1	Enterococcus faecium	504_t0	250
AAF86219.1	Enterococcus faecium	505_t2	308
AAF86219.1	Enterococcus faecium	538_t1	634
AAF86219.1	Enterococcus faecium	532_t2	224
AAF86219.1	Enterococcus faecium	518_t1	428
AAF86219.1	Enterococcus faecium	505_t1	421
AAF86219.1	Enterococcus faecium	512_t2	27
AAF86219.1	Enterococcus faecium	507_t3	1432
AAF86219.1	Enterococcus faecium	516_t0	11
AAF86219.1	Enterococcus faecium	532_t1	453
AAF86219.1	Enterococcus faecium	522_t2	114
AAF86219.1	Enterococcus faecium	504_t2	123
AAF86219.1	Enterococcus faecium	507_t2	753
AAF86219.1	Enterococcus faecium	528_t3	35
AAF86219.1	Enterococcus faecium	534_t0	73
AAF86219.1	Enterococcus faecium	537_t2	36
AAF86219.1	Enterococcus faecium	506_t0	769
AAF86219.1	Enterococcus faecium	517_t1	49
AAF86219.1	Enterococcus faecium	508_t2	319
AAF86219.1	Enterococcus faecium	516_t1	13
AAF86219.1	Enterococcus faecium	537_t0	396
AAF86219.1	Enterococcus faecium	518_t2	2918
AAF86219.1	Enterococcus faecium	522_t1	89
AAF86219.1	Enterococcus faecium	524_t1	55
AAF86219.1	Enterococcus faecium	522_t0	84
AAF86219.1	Enterococcus faecium	538_t0	2961
AAF86219.1	Enterococcus faecium	510_t3	180
AAF86219.1	Enterococcus faecium	510_t1	122
AAF86219.1	Enterococcus faecium	528_t0	272
AAF86219.1	Enterococcus faecium	534_t3	34
AAF86219.1	Enterococcus faecium	523_t3	64
AAF86219.1	Enterococcus faecium	511_t1	48
AAF86219.1	Enterococcus faecium	518_t0	390
AAF86219.1	Enterococcus faecium	523_t0	2605
AAF86219.1	Enterococcus faecium	524_t0	439
AAF86219.1	Enterococcus faecium	528_t2	2
AAF86219.1	Enterococcus faecium	508_t1	401
AAF86219.1	Enterococcus faecium	510_t0	597
AAF86219.1	Enterococcus faecium	507_t1	1707
AAF86219.1	Enterococcus faecium	519_t3	6
AAF86219.1	Enterococcus faecium	510_t2	150
AAF86219.1	Enterococcus faecium	532_t0	1364
AAF86219.1	Enterococcus faecium	534_t1	51
AAF86219.1	Enterococcus faecium	511_t0	112
AAF86219.1	Enterococcus faecium	508_t3	125
CCP46065.1	Mycobacterium tuberculosis H37Rv	508_t0	727
CCP46065.1	Mycobacterium tuberculosis H37Rv	519_t2	2523
CCP46065.1	Mycobacterium tuberculosis H37Rv	524_t3	1085
CCP46065.1	Mycobacterium tuberculosis H37Rv	522_t3	2167
CCP46065.1	Mycobacterium tuberculosis H37Rv	518_t3	1236
CCP46065.1	Mycobacterium tuberculosis H37Rv	504_t1	1323
CCP46065.1	Mycobacterium tuberculosis H37Rv	517_t3	989
CCP46065.1	Mycobacterium tuberculosis H37Rv	519_t1	2473
CCP46065.1	Mycobacterium tuberculosis H37Rv	519_t0	1423
CCP46065.1	Mycobacterium tuberculosis H37Rv	507_t0	1271
CCP46065.1	Mycobacterium tuberculosis H37Rv	517_t2	773
CCP46065.1	Mycobacterium tuberculosis H37Rv	506_t2	1097
CCP46065.1	Mycobacterium tuberculosis H37Rv	538_t2	388
CCP46065.1	Mycobacterium tuberculosis H37Rv	528_t1	1849
CCP46065.1	Mycobacterium tuberculosis H37Rv	504_t3	868
CCP46065.1	Mycobacterium tuberculosis H37Rv	517_t0	758
CCP46065.1	Mycobacterium tuberculosis H37Rv	537_t1	1309
CCP46065.1	Mycobacterium tuberculosis H37Rv	505_t0	1327
CCP46065.1	Mycobacterium tuberculosis H37Rv	537_t3	492
CCP46065.1	Mycobacterium tuberculosis H37Rv	512_t0	2359
CCP46065.1	Mycobacterium tuberculosis H37Rv	532_t3	1245
CCP46065.1	Mycobacterium tuberculosis H37Rv	505_t3	1035
CCP46065.1	Mycobacterium tuberculosis H37Rv	506_t3	859
CCP46065.1	Mycobacterium tuberculosis H37Rv	516_t3	1096
CCP46065.1	Mycobacterium tuberculosis H37Rv	516_t2	1757
CCP46065.1	Mycobacterium tuberculosis H37Rv	524_t2	1223
CCP46065.1	Mycobacterium tuberculosis H37Rv	534_t2	1303
CCP46065.1	Mycobacterium tuberculosis H37Rv	512_t1	1217
CCP46065.1	Mycobacterium tuberculosis H37Rv	523_t1	2403
CCP46065.1	Mycobacterium tuberculosis H37Rv	538_t3	1421
CCP46065.1	Mycobacterium tuberculosis H37Rv	506_t1	923
CCP46065.1	Mycobacterium tuberculosis H37Rv	523_t2	836
CCP46065.1	Mycobacterium tuberculosis H37Rv	511_t2	2894
CCP46065.1	Mycobacterium tuberculosis H37Rv	512_t3	157
CCP46065.1	Mycobacterium tuberculosis H37Rv	511_t3	732
CCP46065.1	Mycobacterium tuberculosis H37Rv	504_t0	1660
CCP46065.1	Mycobacterium tuberculosis H37Rv	505_t2	2543
CCP46065.1	Mycobacterium tuberculosis H37Rv	538_t1	579
CCP46065.1	Mycobacterium tuberculosis H37Rv	532_t2	926
CCP46065.1	Mycobacterium tuberculosis H37Rv	518_t1	1195
CCP46065.1	Mycobacterium tuberculosis H37Rv	505_t1	2426
CCP46065.1	Mycobacterium tuberculosis H37Rv	512_t2	549
CCP46065.1	Mycobacterium tuberculosis H37Rv	507_t3	1532
CCP46065.1	Mycobacterium tuberculosis H37Rv	516_t0	1045
CCP46065.1	Mycobacterium tuberculosis H37Rv	532_t1	1116
CCP46065.1	Mycobacterium tuberculosis H37Rv	522_t2	2613
CCP46065.1	Mycobacterium tuberculosis H37Rv	504_t2	1126
CCP46065.1	Mycobacterium tuberculosis H37Rv	507_t2	1327
CCP46065.1	Mycobacterium tuberculosis H37Rv	528_t3	694
CCP46065.1	Mycobacterium tuberculosis H37Rv	534_t0	1664
CCP46065.1	Mycobacterium tuberculosis H37Rv	537_t2	442
CCP46065.1	Mycobacterium tuberculosis H37Rv	506_t0	1086
CCP46065.1	Mycobacterium tuberculosis H37Rv	517_t1	1138
CCP46065.1	Mycobacterium tuberculosis H37Rv	508_t2	1594
CCP46065.1	Mycobacterium tuberculosis H37Rv	516_t1	1021
CCP46065.1	Mycobacterium tuberculosis H37Rv	537_t0	1691
CCP46065.1	Mycobacterium tuberculosis H37Rv	518_t2	3837
CCP46065.1	Mycobacterium tuberculosis H37Rv	522_t1	1528
CCP46065.1	Mycobacterium tuberculosis H37Rv	524_t1	1049
CCP46065.1	Mycobacterium tuberculosis H37Rv	522_t0	1618
CCP46065.1	Mycobacterium tuberculosis H37Rv	538_t0	1473
CCP46065.1	Mycobacterium tuberculosis H37Rv	510_t3	774
CCP46065.1	Mycobacterium tuberculosis H37Rv	510_t1	869
CCP46065.1	Mycobacterium tuberculosis H37Rv	528_t0	1651
CCP46065.1	Mycobacterium tuberculosis H37Rv	534_t3	1421
CCP46065.1	Mycobacterium tuberculosis H37Rv	523_t3	11
CCP46065.1	Mycobacterium tuberculosis H37Rv	511_t1	1912
CCP46065.1	Mycobacterium tuberculosis H37Rv	518_t0	1420
CCP46065.1	Mycobacterium tuberculosis H37Rv	523_t0	1899
CCP46065.1	Mycobacterium tuberculosis H37Rv	524_t0	1163
CCP46065.1	Mycobacterium tuberculosis H37Rv	528_t2	801
CCP46065.1	Mycobacterium tuberculosis H37Rv	508_t1	1321
CCP46065.1	Mycobacterium tuberculosis H37Rv	510_t0	1707
CCP46065.1	Mycobacterium tuberculosis H37Rv	507_t1	970
CCP46065.1	Mycobacterium tuberculosis H37Rv	519_t3	1524
CCP46065.1	Mycobacterium tuberculosis H37Rv	510_t2	775
CCP46065.1	Mycobacterium tuberculosis H37Rv	532_t0	720
CCP46065.1	Mycobacterium tuberculosis H37Rv	534_t1	1764
CCP46065.1	Mycobacterium tuberculosis H37Rv	511_t0	1597
CCP46065.1	Mycobacterium tuberculosis H37Rv	508_t3	919
CAL84423.1	Clostridium botulinum A str. ATCC 3502	508_t0	292
CAL84423.1	Clostridium botulinum A str. ATCC 3502	519_t2	120
CAL84423.1	Clostridium botulinum A str. ATCC 3502	524_t3	44
CAL84423.1	Clostridium botulinum A str. ATCC 3502	522_t3	12
CAL84423.1	Clostridium botulinum A str. ATCC 3502	518_t3	25
CAL84423.1	Clostridium botulinum A str. ATCC 3502	504_t1	46
CAL84423.1	Clostridium botulinum A str. ATCC 3502	517_t3	2
CAL84423.1	Clostridium botulinum A str. ATCC 3502	519_t1	155
CAL84423.1	Clostridium botulinum A str. ATCC 3502	519_t0	170
CAL84423.1	Clostridium botulinum A str. ATCC 3502	507_t0	109
CAL84423.1	Clostridium botulinum A str. ATCC 3502	517_t2	1
CAL84423.1	Clostridium botulinum A str. ATCC 3502	506_t2	207
CAL84423.1	Clostridium botulinum A str. ATCC 3502	538_t2	191
CAL84423.1	Clostridium botulinum A str. ATCC 3502	528_t1	87
CAL84423.1	Clostridium botulinum A str. ATCC 3502	504_t3	21
CAL84423.1	Clostridium botulinum A str. ATCC 3502	517_t0	8
CAL84423.1	Clostridium botulinum A str. ATCC 3502	537_t1	43
CAL84423.1	Clostridium botulinum A str. ATCC 3502	505_t0	50
CAL84423.1	Clostridium botulinum A str. ATCC 3502	537_t3	12
CAL84423.1	Clostridium botulinum A str. ATCC 3502	512_t0	516
CAL84423.1	Clostridium botulinum A str. ATCC 3502	532_t3	65
CAL84423.1	Clostridium botulinum A str. ATCC 3502	505_t3	58
CAL84423.1	Clostridium botulinum A str. ATCC 3502	506_t3	191
CAL84423.1	Clostridium botulinum A str. ATCC 3502	516_t3	29
CAL84423.1	Clostridium botulinum A str. ATCC 3502	516_t2	33
CAL84423.1	Clostridium botulinum A str. ATCC 3502	524_t2	94
CAL84423.1	Clostridium botulinum A str. ATCC 3502	534_t2	102
CAL84423.1	Clostridium botulinum A str. ATCC 3502	512_t1	286
CAL84423.1	Clostridium botulinum A str. ATCC 3502	523_t1	97
CAL84423.1	Clostridium botulinum A str. ATCC 3502	538_t3	71
CAL84423.1	Clostridium botulinum A str. ATCC 3502	506_t1	157
CAL84423.1	Clostridium botulinum A str. ATCC 3502	523_t2	50
CAL84423.1	Clostridium botulinum A str. ATCC 3502	511_t2	72
CAL84423.1	Clostridium botulinum A str. ATCC 3502	512_t3	5
CAL84423.1	Clostridium botulinum A str. ATCC 3502	511_t3	8
CAL84423.1	Clostridium botulinum A str. ATCC 3502	504_t0	90
CAL84423.1	Clostridium botulinum A str. ATCC 3502	505_t2	70
CAL84423.1	Clostridium botulinum A str. ATCC 3502	538_t1	294
CAL84423.1	Clostridium botulinum A str. ATCC 3502	532_t2	49
CAL84423.1	Clostridium botulinum A str. ATCC 3502	518_t1	46
CAL84423.1	Clostridium botulinum A str. ATCC 3502	505_t1	75
CAL84423.1	Clostridium botulinum A str. ATCC 3502	512_t2	30
CAL84423.1	Clostridium botulinum A str. ATCC 3502	507_t3	159
CAL84423.1	Clostridium botulinum A str. ATCC 3502	516_t0	32
CAL84423.1	Clostridium botulinum A str. ATCC 3502	532_t1	29
CAL84423.1	Clostridium botulinum A str. ATCC 3502	522_t2	97
CAL84423.1	Clostridium botulinum A str. ATCC 3502	504_t2	60
CAL84423.1	Clostridium botulinum A str. ATCC 3502	507_t2	10
CAL84423.1	Clostridium botulinum A str. ATCC 3502	528_t3	4
CAL84423.1	Clostridium botulinum A str. ATCC 3502	534_t0	92
CAL84423.1	Clostridium botulinum A str. ATCC 3502	537_t2	23
CAL84423.1	Clostridium botulinum A str. ATCC 3502	506_t0	277
CAL84423.1	Clostridium botulinum A str. ATCC 3502	517_t1	25
CAL84423.1	Clostridium botulinum A str. ATCC 3502	508_t2	347
CAL84423.1	Clostridium botulinum A str. ATCC 3502	516_t1	29
CAL84423.1	Clostridium botulinum A str. ATCC 3502	537_t0	113
CAL84423.1	Clostridium botulinum A str. ATCC 3502	518_t2	121
CAL84423.1	Clostridium botulinum A str. ATCC 3502	522_t1	81
CAL84423.1	Clostridium botulinum A str. ATCC 3502	524_t1	80
CAL84423.1	Clostridium botulinum A str. ATCC 3502	522_t0	96
CAL84423.1	Clostridium botulinum A str. ATCC 3502	538_t0	196
CAL84423.1	Clostridium botulinum A str. ATCC 3502	510_t3	32
CAL84423.1	Clostridium botulinum A str. ATCC 3502	510_t1	41
CAL84423.1	Clostridium botulinum A str. ATCC 3502	528_t0	93
CAL84423.1	Clostridium botulinum A str. ATCC 3502	534_t3	88
CAL84423.1	Clostridium botulinum A str. ATCC 3502	523_t3	0
CAL84423.1	Clostridium botulinum A str. ATCC 3502	511_t1	117
CAL84423.1	Clostridium botulinum A str. ATCC 3502	518_t0	49
CAL84423.1	Clostridium botulinum A str. ATCC 3502	523_t0	60
CAL84423.1	Clostridium botulinum A str. ATCC 3502	524_t0	110
CAL84423.1	Clostridium botulinum A str. ATCC 3502	528_t2	2
CAL84423.1	Clostridium botulinum A str. ATCC 3502	508_t1	961
CAL84423.1	Clostridium botulinum A str. ATCC 3502	510_t0	151
CAL84423.1	Clostridium botulinum A str. ATCC 3502	507_t1	43
CAL84423.1	Clostridium botulinum A str. ATCC 3502	519_t3	75
CAL84423.1	Clostridium botulinum A str. ATCC 3502	510_t2	54
CAL84423.1	Clostridium botulinum A str. ATCC 3502	532_t0	32
CAL84423.1	Clostridium botulinum A str. ATCC 3502	534_t1	79
CAL84423.1	Clostridium botulinum A str. ATCC 3502	511_t0	117
CAL84423.1	Clostridium botulinum A str. ATCC 3502	508_t3	244
AAA21532.1	Bacteroides fragilis	508_t0	1154
AAA21532.1	Bacteroides fragilis	519_t2	1138
AAA21532.1	Bacteroides fragilis	524_t3	2811
AAA21532.1	Bacteroides fragilis	522_t3	687
AAA21532.1	Bacteroides fragilis	518_t3	1964
AAA21532.1	Bacteroides fragilis	504_t1	804
AAA21532.1	Bacteroides fragilis	517_t3	3745
AAA21532.1	Bacteroides fragilis	519_t1	1921
AAA21532.1	Bacteroides fragilis	519_t0	1965
AAA21532.1	Bacteroides fragilis	507_t0	1907
AAA21532.1	Bacteroides fragilis	517_t2	4400
AAA21532.1	Bacteroides fragilis	506_t2	1630
AAA21532.1	Bacteroides fragilis	538_t2	2424
AAA21532.1	Bacteroides fragilis	528_t1	902
AAA21532.1	Bacteroides fragilis	504_t3	2892
AAA21532.1	Bacteroides fragilis	517_t0	3449
AAA21532.1	Bacteroides fragilis	537_t1	805
AAA21532.1	Bacteroides fragilis	505_t0	177
AAA21532.1	Bacteroides fragilis	537_t3	1272
AAA21532.1	Bacteroides fragilis	512_t0	2565
AAA21532.1	Bacteroides fragilis	532_t3	4433
AAA21532.1	Bacteroides fragilis	505_t3	2313
AAA21532.1	Bacteroides fragilis	506_t3	2877
AAA21532.1	Bacteroides fragilis	516_t3	2795
AAA21532.1	Bacteroides fragilis	516_t2	591
AAA21532.1	Bacteroides fragilis	524_t2	4574
AAA21532.1	Bacteroides fragilis	534_t2	1071
AAA21532.1	Bacteroides fragilis	512_t1	1436
AAA21532.1	Bacteroides fragilis	523_t1	1715
AAA21532.1	Bacteroides fragilis	538_t3	11246
AAA21532.1	Bacteroides fragilis	506_t1	1202
AAA21532.1	Bacteroides fragilis	523_t2	405
AAA21532.1	Bacteroides fragilis	511_t2	125
AAA21532.1	Bacteroides fragilis	512_t3	805
AAA21532.1	Bacteroides fragilis	511_t3	102
AAA21532.1	Bacteroides fragilis	504_t0	1443
AAA21532.1	Bacteroides fragilis	505_t2	373
AAA21532.1	Bacteroides fragilis	538_t1	2879
AAA21532.1	Bacteroides fragilis	532_t2	3268
AAA21532.1	Bacteroides fragilis	518_t1	2416
AAA21532.1	Bacteroides fragilis	505_t1	641
AAA21532.1	Bacteroides fragilis	512_t2	1290
AAA21532.1	Bacteroides fragilis	507_t3	3034
AAA21532.1	Bacteroides fragilis	516_t0	1392
AAA21532.1	Bacteroides fragilis	532_t1	3824
AAA21532.1	Bacteroides fragilis	522_t2	474
AAA21532.1	Bacteroides fragilis	504_t2	741
AAA21532.1	Bacteroides fragilis	507_t2	2861
AAA21532.1	Bacteroides fragilis	528_t3	54
AAA21532.1	Bacteroides fragilis	534_t0	785
AAA21532.1	Bacteroides fragilis	537_t2	20
AAA21532.1	Bacteroides fragilis	506_t0	1572
AAA21532.1	Bacteroides fragilis	517_t1	3832
AAA21532.1	Bacteroides fragilis	508_t2	440
AAA21532.1	Bacteroides fragilis	516_t1	748
AAA21532.1	Bacteroides fragilis	537_t0	1391
AAA21532.1	Bacteroides fragilis	518_t2	1354
AAA21532.1	Bacteroides fragilis	522_t1	348
AAA21532.1	Bacteroides fragilis	524_t1	3587
AAA21532.1	Bacteroides fragilis	522_t0	555
AAA21532.1	Bacteroides fragilis	538_t0	4314
AAA21532.1	Bacteroides fragilis	510_t3	1341
AAA21532.1	Bacteroides fragilis	510_t1	1770
AAA21532.1	Bacteroides fragilis	528_t0	943
AAA21532.1	Bacteroides fragilis	534_t3	954
AAA21532.1	Bacteroides fragilis	523_t3	27
AAA21532.1	Bacteroides fragilis	511_t1	3021
AAA21532.1	Bacteroides fragilis	518_t0	3681
AAA21532.1	Bacteroides fragilis	523_t0	2290
AAA21532.1	Bacteroides fragilis	524_t0	2936
AAA21532.1	Bacteroides fragilis	528_t2	21
AAA21532.1	Bacteroides fragilis	508_t1	1016
AAA21532.1	Bacteroides fragilis	510_t0	1637
AAA21532.1	Bacteroides fragilis	507_t1	1036
AAA21532.1	Bacteroides fragilis	519_t3	991
AAA21532.1	Bacteroides fragilis	510_t2	1764
AAA21532.1	Bacteroides fragilis	532_t0	2393
AAA21532.1	Bacteroides fragilis	534_t1	840
AAA21532.1	Bacteroides fragilis	511_t0	2659
AAA21532.1	Bacteroides fragilis	508_t3	602
AAA27471.1	Bacteroides fragilis	508_t0	2299
AAA27471.1	Bacteroides fragilis	519_t2	345
AAA27471.1	Bacteroides fragilis	524_t3	7083
AAA27471.1	Bacteroides fragilis	522_t3	11583
AAA27471.1	Bacteroides fragilis	518_t3	0
AAA27471.1	Bacteroides fragilis	504_t1	1690
AAA27471.1	Bacteroides fragilis	517_t3	0
AAA27471.1	Bacteroides fragilis	519_t1	272
AAA27471.1	Bacteroides fragilis	519_t0	165
AAA27471.1	Bacteroides fragilis	507_t0	16
AAA27471.1	Bacteroides fragilis	517_t2	0
AAA27471.1	Bacteroides fragilis	506_t2	5150
AAA27471.1	Bacteroides fragilis	538_t2	2
AAA27471.1	Bacteroides fragilis	528_t1	6
AAA27471.1	Bacteroides fragilis	504_t3	2785
AAA27471.1	Bacteroides fragilis	517_t0	0
AAA27471.1	Bacteroides fragilis	537_t1	492
AAA27471.1	Bacteroides fragilis	505_t0	37
AAA27471.1	Bacteroides fragilis	537_t3	613
AAA27471.1	Bacteroides fragilis	512_t0	1524
AAA27471.1	Bacteroides fragilis	532_t3	175
AAA27471.1	Bacteroides fragilis	505_t3	0
AAA27471.1	Bacteroides fragilis	506_t3	5807
AAA27471.1	Bacteroides fragilis	516_t3	0
AAA27471.1	Bacteroides fragilis	516_t2	0
AAA27471.1	Bacteroides fragilis	524_t2	8879
AAA27471.1	Bacteroides fragilis	534_t2	5208
AAA27471.1	Bacteroides fragilis	512_t1	943
AAA27471.1	Bacteroides fragilis	523_t1	0
AAA27471.1	Bacteroides fragilis	538_t3	0
AAA27471.1	Bacteroides fragilis	506_t1	2439
AAA27471.1	Bacteroides fragilis	523_t2	0
AAA27471.1	Bacteroides fragilis	511_t2	0
AAA27471.1	Bacteroides fragilis	512_t3	524
AAA27471.1	Bacteroides fragilis	511_t3	0
AAA27471.1	Bacteroides fragilis	504_t0	1781
AAA27471.1	Bacteroides fragilis	505_t2	3
AAA27471.1	Bacteroides fragilis	538_t1	0
AAA27471.1	Bacteroides fragilis	532_t2	128
AAA27471.1	Bacteroides fragilis	518_t1	77
AAA27471.1	Bacteroides fragilis	505_t1	57
AAA27471.1	Bacteroides fragilis	512_t2	891
AAA27471.1	Bacteroides fragilis	507_t3	0
AAA27471.1	Bacteroides fragilis	516_t0	0
AAA27471.1	Bacteroides fragilis	532_t1	107
AAA27471.1	Bacteroides fragilis	522_t2	2400
AAA27471.1	Bacteroides fragilis	504_t2	670
AAA27471.1	Bacteroides fragilis	507_t2	0
AAA27471.1	Bacteroides fragilis	528_t3	0
AAA27471.1	Bacteroides fragilis	534_t0	3020
AAA27471.1	Bacteroides fragilis	537_t2	12
AAA27471.1	Bacteroides fragilis	506_t0	3756
AAA27471.1	Bacteroides fragilis	517_t1	0
AAA27471.1	Bacteroides fragilis	508_t2	1895
AAA27471.1	Bacteroides fragilis	516_t1	0
AAA27471.1	Bacteroides fragilis	537_t0	364
AAA27471.1	Bacteroides fragilis	518_t2	2
AAA27471.1	Bacteroides fragilis	522_t1	1666
AAA27471.1	Bacteroides fragilis	524_t1	7005
AAA27471.1	Bacteroides fragilis	522_t0	839
AAA27471.1	Bacteroides fragilis	538_t0	0
AAA27471.1	Bacteroides fragilis	510_t3	0
AAA27471.1	Bacteroides fragilis	510_t1	0
AAA27471.1	Bacteroides fragilis	528_t0	13
AAA27471.1	Bacteroides fragilis	534_t3	5593
AAA27471.1	Bacteroides fragilis	523_t3	0
AAA27471.1	Bacteroides fragilis	511_t1	0
AAA27471.1	Bacteroides fragilis	518_t0	28
AAA27471.1	Bacteroides fragilis	523_t0	0
AAA27471.1	Bacteroides fragilis	524_t0	14509
AAA27471.1	Bacteroides fragilis	528_t2	0
AAA27471.1	Bacteroides fragilis	508_t1	2168
AAA27471.1	Bacteroides fragilis	510_t0	0
AAA27471.1	Bacteroides fragilis	507_t1	1
AAA27471.1	Bacteroides fragilis	519_t3	93
AAA27471.1	Bacteroides fragilis	510_t2	0
AAA27471.1	Bacteroides fragilis	532_t0	141
AAA27471.1	Bacteroides fragilis	534_t1	7207
AAA27471.1	Bacteroides fragilis	511_t0	0
AAA27471.1	Bacteroides fragilis	508_t3	1255
NP_252896.1	Pseudomonas aeruginosa PAO1	508_t0	1153
NP_252896.1	Pseudomonas aeruginosa PAO1	519_t2	413
NP_252896.1	Pseudomonas aeruginosa PAO1	524_t3	1537
NP_252896.1	Pseudomonas aeruginosa PAO1	522_t3	1609
NP_252896.1	Pseudomonas aeruginosa PAO1	518_t3	2200
NP_252896.1	Pseudomonas aeruginosa PAO1	504_t1	604
NP_252896.1	Pseudomonas aeruginosa PAO1	517_t3	2147
NP_252896.1	Pseudomonas aeruginosa PAO1	519_t1	905
NP_252896.1	Pseudomonas aeruginosa PAO1	519_t0	1254
NP_252896.1	Pseudomonas aeruginosa PAO1	507_t0	892
NP_252896.1	Pseudomonas aeruginosa PAO1	517_t2	1794
NP_252896.1	Pseudomonas aeruginosa PAO1	506_t2	943
NP_252896.1	Pseudomonas aeruginosa PAO1	538_t2	630
NP_252896.1	Pseudomonas aeruginosa PAO1	528_t1	909
NP_252896.1	Pseudomonas aeruginosa PAO1	504_t3	1199
NP_252896.1	Pseudomonas aeruginosa PAO1	517_t0	1813
NP_252896.1	Pseudomonas aeruginosa PAO1	537_t1	725
NP_252896.1	Pseudomonas aeruginosa PAO1	505_t0	577
NP_252896.1	Pseudomonas aeruginosa PAO1	537_t3	1407
NP_252896.1	Pseudomonas aeruginosa PAO1	512_t0	1190
NP_252896.1	Pseudomonas aeruginosa PAO1	532_t3	1466
NP_252896.1	Pseudomonas aeruginosa PAO1	505_t3	1727
NP_252896.1	Pseudomonas aeruginosa PAO1	506_t3	887
NP_252896.1	Pseudomonas aeruginosa PAO1	516_t3	1839
NP_252896.1	Pseudomonas aeruginosa PAO1	516_t2	947
NP_252896.1	Pseudomonas aeruginosa PAO1	524_t2	2202
NP_252896.1	Pseudomonas aeruginosa PAO1	534_t2	1470
NP_252896.1	Pseudomonas aeruginosa PAO1	512_t1	732
NP_252896.1	Pseudomonas aeruginosa PAO1	523_t1	1000
NP_252896.1	Pseudomonas aeruginosa PAO1	538_t3	2239
NP_252896.1	Pseudomonas aeruginosa PAO1	506_t1	751
NP_252896.1	Pseudomonas aeruginosa PAO1	523_t2	66
NP_252896.1	Pseudomonas aeruginosa PAO1	511_t2	611
NP_252896.1	Pseudomonas aeruginosa PAO1	512_t3	354
NP_252896.1	Pseudomonas aeruginosa PAO1	511_t3	241
NP_252896.1	Pseudomonas aeruginosa PAO1	504_t0	833
NP_252896.1	Pseudomonas aeruginosa PAO1	505_t2	667
NP_252896.1	Pseudomonas aeruginosa PAO1	538_t1	1300
NP_252896.1	Pseudomonas aeruginosa PAO1	532_t2	1181
